nohup: ignoring input
Images: 1803460. Masks: 12000
Images: 36500. Masks: 12000
[TRAIN] Epoch[1(3260/225432)]; Loss_G:0.979374; Loss_D:0.643118; PSNR:19.7389; time:1.2504 sec
[TRAIN] Epoch[1(3280/225432)]; Loss_G:0.691780; Loss_D:0.678096; PSNR:22.4416; time:1.0268 sec
[TRAIN] Epoch[1(3300/225432)]; Loss_G:0.799195; Loss_D:0.649957; PSNR:21.7763; time:0.9855 sec
[TRAIN] Epoch[1(3320/225432)]; Loss_G:0.574016; Loss_D:0.679931; PSNR:23.3557; time:1.2132 sec
[TRAIN] Epoch[1(3340/225432)]; Loss_G:0.681738; Loss_D:0.666964; PSNR:22.4050; time:0.9445 sec
[TRAIN] Epoch[1(3360/225432)]; Loss_G:0.664863; Loss_D:0.682931; PSNR:22.5363; time:1.0793 sec
[TRAIN] Epoch[1(3380/225432)]; Loss_G:0.567364; Loss_D:0.677748; PSNR:23.2804; time:1.1951 sec
[TRAIN] Epoch[1(3400/225432)]; Loss_G:0.759005; Loss_D:0.662158; PSNR:21.3869; time:1.0709 sec
[TRAIN] Epoch[1(3420/225432)]; Loss_G:0.710844; Loss_D:0.666685; PSNR:22.1782; time:1.0572 sec
[TRAIN] Epoch[1(3440/225432)]; Loss_G:0.760722; Loss_D:0.680423; PSNR:22.3533; time:1.1850 sec
[TRAIN] Epoch[1(3460/225432)]; Loss_G:0.625262; Loss_D:0.670507; PSNR:23.4581; time:1.0456 sec
[TRAIN] Epoch[1(3480/225432)]; Loss_G:0.828070; Loss_D:0.657493; PSNR:21.0145; time:1.0438 sec
[TRAIN] Epoch[1(3500/225432)]; Loss_G:0.431904; Loss_D:0.689780; PSNR:25.2247; time:1.0343 sec
[TRAIN] Epoch[1(3520/225432)]; Loss_G:1.020922; Loss_D:0.650330; PSNR:19.3495; time:0.8374 sec
[TRAIN] Epoch[1(3540/225432)]; Loss_G:0.654834; Loss_D:0.672119; PSNR:22.4588; time:1.2137 sec
[TRAIN] Epoch[1(3560/225432)]; Loss_G:0.926557; Loss_D:0.642774; PSNR:20.0133; time:1.1081 sec
[TRAIN] Epoch[1(3580/225432)]; Loss_G:0.953360; Loss_D:0.648410; PSNR:19.8985; time:1.0794 sec
[TRAIN] Epoch[1(3600/225432)]; Loss_G:0.777444; Loss_D:0.659815; PSNR:20.5541; time:0.9372 sec
[TRAIN] Epoch[1(3620/225432)]; Loss_G:1.165908; Loss_D:0.634953; PSNR:19.1707; time:1.2753 sec
[TRAIN] Epoch[1(3640/225432)]; Loss_G:0.341370; Loss_D:0.702625; PSNR:26.5772; time:1.0666 sec
[TRAIN] Epoch[1(3660/225432)]; Loss_G:0.811686; Loss_D:0.661445; PSNR:20.5452; time:1.0657 sec
[TRAIN] Epoch[1(3680/225432)]; Loss_G:0.623736; Loss_D:0.664021; PSNR:23.3620; time:1.1463 sec
[TRAIN] Epoch[1(3700/225432)]; Loss_G:0.362236; Loss_D:0.692902; PSNR:25.7269; time:1.0626 sec
[TRAIN] Epoch[1(3720/225432)]; Loss_G:0.841962; Loss_D:0.647028; PSNR:21.4900; time:0.9327 sec
[TRAIN] Epoch[1(3740/225432)]; Loss_G:0.656899; Loss_D:0.661456; PSNR:22.2836; time:1.1797 sec
[TRAIN] Epoch[1(3760/225432)]; Loss_G:0.766259; Loss_D:0.657693; PSNR:20.9036; time:0.9872 sec
[TRAIN] Epoch[1(3780/225432)]; Loss_G:0.819379; Loss_D:0.668449; PSNR:21.3290; time:1.0330 sec
[TRAIN] Epoch[1(3800/225432)]; Loss_G:0.375078; Loss_D:0.684561; PSNR:26.2083; time:1.0004 sec
[TRAIN] Epoch[1(3820/225432)]; Loss_G:0.278569; Loss_D:0.698446; PSNR:27.8940; time:0.8580 sec
[TRAIN] Epoch[1(3840/225432)]; Loss_G:0.616600; Loss_D:0.663562; PSNR:23.1951; time:0.9171 sec
[TRAIN] Epoch[1(3860/225432)]; Loss_G:0.665333; Loss_D:0.668442; PSNR:23.0945; time:1.0070 sec
[TRAIN] Epoch[1(3880/225432)]; Loss_G:0.745122; Loss_D:0.659245; PSNR:21.5212; time:1.1223 sec
[TRAIN] Epoch[1(3900/225432)]; Loss_G:0.826182; Loss_D:0.673650; PSNR:20.7180; time:1.2790 sec
[TRAIN] Epoch[1(3920/225432)]; Loss_G:0.664781; Loss_D:0.662195; PSNR:23.3311; time:1.0043 sec
[TRAIN] Epoch[1(3940/225432)]; Loss_G:0.885911; Loss_D:0.647998; PSNR:21.1302; time:1.0274 sec
[TRAIN] Epoch[1(3960/225432)]; Loss_G:1.094848; Loss_D:0.637345; PSNR:18.8764; time:1.0818 sec
[TRAIN] Epoch[1(3980/225432)]; Loss_G:0.626196; Loss_D:0.677485; PSNR:22.9575; time:1.1891 sec
[TRAIN] Epoch[1(4000/225432)]; Loss_G:0.625298; Loss_D:0.677065; PSNR:23.0494; time:1.0460 sec
[TRAIN] Epoch[1(4020/225432)]; Loss_G:0.290795; Loss_D:0.701783; PSNR:28.1002; time:0.9722 sec
[TRAIN] Epoch[1(4040/225432)]; Loss_G:0.768574; Loss_D:0.668318; PSNR:21.3904; time:0.9488 sec
[TRAIN] Epoch[1(4060/225432)]; Loss_G:0.679222; Loss_D:0.672985; PSNR:22.7557; time:1.1249 sec
[TRAIN] Epoch[1(4080/225432)]; Loss_G:0.656057; Loss_D:0.668609; PSNR:22.7213; time:0.9951 sec
[TRAIN] Epoch[1(4100/225432)]; Loss_G:0.391389; Loss_D:0.679273; PSNR:26.0177; time:1.1667 sec
[TRAIN] Epoch[1(4120/225432)]; Loss_G:0.534428; Loss_D:0.663474; PSNR:24.7110; time:1.1942 sec
[TRAIN] Epoch[1(4140/225432)]; Loss_G:0.884993; Loss_D:0.631898; PSNR:20.1867; time:1.0131 sec
[TRAIN] Epoch[1(4160/225432)]; Loss_G:0.556543; Loss_D:0.685222; PSNR:23.4312; time:1.0806 sec
[TRAIN] Epoch[1(4180/225432)]; Loss_G:0.768255; Loss_D:0.663433; PSNR:21.3111; time:0.8828 sec
[TRAIN] Epoch[1(4200/225432)]; Loss_G:0.635087; Loss_D:0.672973; PSNR:22.1769; time:1.0302 sec
[TRAIN] Epoch[1(4220/225432)]; Loss_G:0.946952; Loss_D:0.644390; PSNR:20.0597; time:1.2168 sec
[TRAIN] Epoch[1(4240/225432)]; Loss_G:0.674080; Loss_D:0.672519; PSNR:22.2210; time:0.9055 sec
[TRAIN] Epoch[1(4260/225432)]; Loss_G:1.038213; Loss_D:0.653191; PSNR:19.1281; time:1.0144 sec
[TRAIN] Epoch[1(4280/225432)]; Loss_G:0.812524; Loss_D:0.663675; PSNR:21.0767; time:1.1012 sec
[TRAIN] Epoch[1(4300/225432)]; Loss_G:0.719081; Loss_D:0.666622; PSNR:20.9191; time:0.8653 sec
